# r.topmodel output file for EW2Walk
# Run time: 2016-11-21 12:55:31
#
# Qt_peak [m^3/timestep]:  Peak total flow
# tt_peak [timestep]:      Peak time for total flow
# Qt_mean [m^3/timestep]:  Mean total flow
# lnTe [ln(m^2/timestep)]: ln of the average transmissivity at the soil surface
# vch [m/timestep]:        Main channel routing velocity
# vr [m/timestep]:         Internal subcatchment routing velocity
# lambda [ln(m^2)]:        Average topographic index
# qss [m/timestep]:        Saturated subsurface flow per unit area
# qs0 [m/timestep]:        Initial subsurface flow per unit area
# ntopidxclasses:          Number of topographic index classes
# dt [h]:                  Time step
# ntimesteps:              Number of time steps
# nch:                     Number of channel segments
# delay [timestep]:        Routing delay in the main channel
# tc [timestep]:           Time of concentration
# tcsub [timestep]:        Time of concentration in the subcatchment
#
# tch [timestep]:          Routing time to the catchment outlet
# Ad [m^2]:                Difference in the contribution area
# Qt [m^3/timestep]:       Total flow
# qt [m/timestep]:         Total flow per unit area
# qo [m/timestep]:         Saturated overland flow per unit area
# qs [m/timestep]:         Subsurface flow per unit area
# qv [m/timestep]:         Vertical drainage flux from unsaturated zone
# S_mean [m]:              Mean saturation deficit

Qt_peak:         1.214e+06
tt_peak:               358
Qt_mean:         3.502e+04
lnTe:            5.178e+00
vch:             4.800e+05
vr:              2.400e+05
lambda:          7.356e+00
qss:             1.133e-01
qs0:             1.800e-03
ntopidxclasses:         30
dt:              2.400e+01
ntimesteps:            730
nch:                    11
delay:                   0
tc:                      1
tcsub:                   1

       tch
 0.000e+00
 6.300e-03
 1.260e-02
 1.890e-02
 2.520e-02
 3.150e-02
 3.780e-02
 4.410e-02
 5.040e-02
 5.670e-02
 6.300e-02

        Ad
 2.329e+07

  timestep         Qt         qt         qo         qs         qv     S_mean
       144  5.307e+03  2.279e-04  0.000e+00  2.279e-04  0.000e+00  3.748e-02
       145  5.109e+03  2.194e-04  0.000e+00  2.194e-04  0.000e+00  3.770e-02
       146  4.926e+03  2.115e-04  0.000e+00  2.115e-04  0.000e+00  3.791e-02
       147  4.755e+03  2.042e-04  0.000e+00  2.042e-04  0.000e+00  3.812e-02
       148  4.779e+03  2.052e-04  7.848e-06  1.974e-04  2.834e-03  3.548e-02
       149  7.186e+03  3.085e-04  2.315e-06  3.062e-04  6.018e-04  3.519e-02
       150  7.492e+03  3.217e-04  0.000e+00  3.217e-04  0.000e+00  3.551e-02
       151  7.101e+03  3.049e-04  0.000e+00  3.049e-04  0.000e+00  3.581e-02
       152  6.749e+03  2.898e-04  0.000e+00  2.898e-04  0.000e+00  3.610e-02
       153  6.431e+03  2.761e-04  0.000e+00  2.761e-04  0.000e+00  3.638e-02
       154  6.142e+03  2.637e-04  0.000e+00  2.637e-04  0.000e+00  3.664e-02
       155  5.878e+03  2.524e-04  0.000e+00  2.524e-04  0.000e+00  3.690e-02
       156  5.636e+03  2.420e-04  0.000e+00  2.420e-04  0.000e+00  3.714e-02
       157  5.413e+03  2.324e-04  0.000e+00  2.324e-04  0.000e+00  3.737e-02
       158  5.207e+03  2.236e-04  0.000e+00  2.236e-04  0.000e+00  3.759e-02
       159  5.017e+03  2.154e-04  0.000e+00  2.154e-04  0.000e+00  3.781e-02
       160  4.840e+03  2.078e-04  0.000e+00  2.078e-04  0.000e+00  3.802e-02
       161  4.675e+03  2.007e-04  0.000e+00  2.007e-04  0.000e+00  3.822e-02
       162  4.521e+03  1.941e-04  0.000e+00  1.941e-04  0.000e+00  3.841e-02
       163  4.377e+03  1.879e-04  0.000e+00  1.879e-04  0.000e+00  3.860e-02
       164  4.242e+03  1.822e-04  0.000e+00  1.822e-04  0.000e+00  3.878e-02
       165  4.115e+03  1.767e-04  0.000e+00  1.767e-04  0.000e+00  3.896e-02
       166  3.996e+03  1.716e-04  0.000e+00  1.716e-04  0.000e+00  3.913e-02
       167  3.883e+03  1.667e-04  0.000e+00  1.667e-04  0.000e+00  3.930e-02
       168  3.777e+03  1.622e-04  0.000e+00  1.622e-04  0.000e+00  3.946e-02
       169  3.676e+03  1.578e-04  0.000e+00  1.578e-04  0.000e+00  3.962e-02
       170  3.581e+03  1.537e-04  0.000e+00  1.537e-04  0.000e+00  3.977e-02
       171  3.490e+03  1.499e-04  0.000e+00  1.499e-04  0.000e+00  3.992e-02
       172  3.404e+03  1.462e-04  0.000e+00  1.462e-04  0.000e+00  4.007e-02
       173  3.322e+03  1.426e-04  0.000e+00  1.426e-04  0.000e+00  4.021e-02
       174  3.244e+03  1.393e-04  0.000e+00  1.393e-04  0.000e+00  4.035e-02
       175  3.170e+03  1.361e-04  0.000e+00  1.361e-04  0.000e+00  4.048e-02
       176  3.099e+03  1.330e-04  0.000e+00  1.330e-04  0.000e+00  4.062e-02
       177  3.031e+03  1.301e-04  0.000e+00  1.301e-04  0.000e+00  4.075e-02
       178  2.966e+03  1.273e-04  0.000e+00  1.273e-04  0.000e+00  4.087e-02
       179  2.903e+03  1.247e-04  0.000e+00  1.247e-04  0.000e+00  4.100e-02
       180  2.844e+03  1.221e-04  0.000e+00  1.221e-04  0.000e+00  4.112e-02
       181  2.786e+03  1.196e-04  0.000e+00  1.196e-04  0.000e+00  4.124e-02
       182  2.731e+03  1.173e-04  0.000e+00  1.173e-04  0.000e+00  4.136e-02
       183  2.678e+03  1.150e-04  0.000e+00  1.150e-04  0.000e+00  4.147e-02
       184  2.628e+03  1.128e-04  0.000e+00  1.128e-04  0.000e+00  4.159e-02
       185  2.579e+03  1.107e-04  0.000e+00  1.107e-04  0.000e+00  4.170e-02
       186  2.532e+03  1.087e-04  0.000e+00  1.087e-04  0.000e+00  4.181e-02
       187  2.486e+03  1.067e-04  0.000e+00  1.067e-04  0.000e+00  4.191e-02
       188  2.442e+03  1.049e-04  0.000e+00  1.049e-04  0.000e+00  4.202e-02
       189  2.400e+03  1.030e-04  0.000e+00  1.030e-04  0.000e+00  4.212e-02
       190  2.359e+03  1.013e-04  0.000e+00  1.013e-04  0.000e+00  4.222e-02
       191  2.320e+03  9.960e-05  0.000e+00  9.960e-05  0.000e+00  4.232e-02
       192  2.281e+03  9.796e-05  0.000e+00  9.796e-05  0.000e+00  4.242e-02
